City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port alfred,-33.59,26.89,289.82,97,3,2.96,ZA,1588987004
cherskiy,68.75,161.3,275.98,83,0,1.76,RU,1588987005
atuona,-9.8,-139.03,300.72,74,100,6.72,PF,1588986726
vila franca do campo,37.72,-25.43,288.15,93,75,5.1,PT,1588987006
owosso,43.0,-84.18,275.15,34,75,7.2,US,1588986716
kavaratti,10.57,72.64,302.8,73,91,3.12,IN,1588986869
kruisfontein,-34.0,24.73,286.21,95,0,1.22,ZA,1588987008
onda,39.97,-0.25,290.93,87,100,0.12,ES,1588987009
khatanga,71.97,102.5,269.45,95,100,9.81,RU,1588987009
pingxiang,27.62,113.85,296.01,90,100,1.65,CN,1588987009
norilsk,69.35,88.2,277.15,93,40,11.0,RU,1588987010
sunbury,-37.58,144.73,283.15,87,75,5.1,AU,1588987010
nouadhibou,20.93,-17.03,292.15,82,13,9.8,MR,1588987011
filadelfia,39.95,-75.16,282.15,87,90,4.1,US,1588986920
kaitangata,-46.28,169.85,287.59,61,0,0.89,NZ,1588987012
santa barbara,34.42,-119.7,299.26,82,1,2.1,US,1588987012
copiapo,-27.37,-70.33,288.15,77,0,3.1,CL,1588987013
altay,47.87,88.12,287.04,36,0,3.81,CN,1588987013
novikovo,51.15,37.89,280.18,90,100,1.65,RU,1588987014
derzhavinsk,51.1,66.32,289.65,51,99,8.7,KZ,1588987014
san andres,12.58,-81.7,301.15,88,75,3.6,CO,1588987015
kenora,49.82,-94.43,279.15,28,20,3.6,CA,1588987015
phan thiet,10.93,108.1,303.93,63,89,0.79,VN,1588987016
marsh harbour,26.54,-77.06,297.16,62,17,4.07,BS,1588986817
nikolskoye,59.7,30.79,280.15,56,71,3.0,RU,1588987016
domoni,-12.26,44.53,299.05,84,100,5.42,KM,1588987017
hamilton,39.18,-84.53,281.15,36,1,4.6,US,1588986902
ostrovnoy,68.05,39.51,272.09,96,100,4.36,RU,1588986850
bemidji,47.47,-94.88,280.93,30,1,2.6,US,1588987018
samarinda,-0.5,117.15,301.65,89,96,0.72,ID,1588987019
kabalo,-6.05,26.92,293.75,93,0,1.85,CD,1588987019
sovetskiy,61.36,63.58,288.04,69,100,2.74,RU,1588987019
makat,47.65,53.35,290.81,38,0,1.1,KZ,1588987020
roald,62.58,6.13,278.71,80,100,2.6,NO,1588987020
acapulco,16.86,-99.89,302.15,70,20,4.6,MX,1588986984
port shepstone,-30.74,30.45,291.08,77,0,2.35,ZA,1588987022
saint-francois,46.42,3.91,286.48,87,72,1.5,FR,1588987023
rawson,-43.3,-65.1,293.15,40,75,6.2,AR,1588986763
fayaoue,-20.65,166.53,297.47,77,1,9.49,NC,1588987024
airai,-8.93,125.41,293.57,81,19,1.72,TL,1588987024
panguna,-6.32,155.48,302.23,61,21,1.12,PG,1588987025
